term,sitting,docket,run
2022,April,22-23,1
2022,April,22-200,1
2022,April,22-174,1
2022,April,21-1326,1
2022,April,22-138,1
2022,April,22-210,1
2022,April,22-227,1
2022,April,22-381,1
2022,April,22-166,1
2022,March,21-1484,1
2022,March,21-1043,1
2022,March,22-105,1
2022,March,22-148,1
2022,March,21-757,1
2022,March,22-179,1
2022,March,21-1576,1
2022,March,22-49,1
2022,March,22-196,1
2022,March,21-1599,1
2022,February,21-1333,1
2022,February,21-1496,1
2022,February,22-10,1
2022,February,22-506,1
2022,February,22-535,1
2022,February,156-orig,1
2022,January,21-1397,1
2022,January,21-1454,1
2022,January,21-1449,1
2022,January,22-96,1
2022,January,21-1436,1
2022,January,21-1450,1
2022,January,21-887,1
2022,December,21-1158,1
2022,December,21-1170,1
2022,December,22-58,1
2022,December,21-1164,1
2022,December,21-476,1
2022,December,21-1270,1
2022,December,21-1052,1
2022,December,21-908,1
2022,December,21-1271,1
2022,December,21-707,1
2022,November,20-1199,1
2022,November,21-857,1
2022,November,21-846,1
2022,November,21-1195,1
2022,November,21-86,1
2022,November,21-1239,1
2022,November,21-1168,1
2022,November,21-806,1
2022,November,21-376,1
2022,October,21-454,1
2022,October,22O145,1
2022,October,21-1086,1
2022,October,21-432,1
2022,October,21-468,1
2022,October,21-442,1
2022,October,21-869,1
2022,October,21-984,1
