short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Harrow v. Dept. of Defense,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-21),CAFC,Vacate \& Remand,Kagan,(9-0)
NRA v. Vullo,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-842),CA2,Vacate \& Remand,Sotomayor,(9-0)
Truck Insurance Exchange v. Kaiser Gypsum,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-1079),CA4,Reverse \& Remand,Sotomayor,(8-0)
Connelly v. United States,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-146),CA8,Affirm,Thomas,(9-0)
Becerra v. San Carlos Apache Tribe (Cons. w. 23-253),This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-250),CA9,Affirm,Roberts,(5-4)
