short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Acheson Hotels v. Laufer,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-429),CA1,Vacate \& Remand,Barrett,(9-0)
Murray v. UBS Securities,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-660),CA2,Reverse \& Remand,Sotomayor,(9-0)*
Greater Lakes Ins. v. Raiders Retreat Realty Co.,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-500),CA3,Reverse,Kavanaugh,(9-0)*
Pulsifer v. U.S.,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-340),CA8,Affirm,Kagan,(6-3)
CFPB v. Community Financial Services Assn.,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-448),CA5,Reverse \& Remand,Thomas,(7-2)*
Alexander v. SC Conf. of NAACP,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-807),DCSC,Reverse In Part Remand In Part,Alito,(6-3)*
