short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Smith v. Spizzirri,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-1218),CA9,Reverse \& Remand,Sotomayor,(9-0)
Thornell v. Jones,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-982),CA9,Reverse \& Remand,Alito,(6-3)
Starbucks Corp. v. McKinney,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-367),CA6,Vacate \& Remand,Thomas,(9-0)*
