short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Trump v. Anderson,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-719),SCCO,Reverse,Per Curiam,(9-0)*
Bissonnette v. LePage Bakeries,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-51),CA2,Vacate \& Remand,Roberts,(9-0)
McIntosh v. U.S.,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-7386),CA2,Affirm,Sotomayor,(9-0)
