short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Dept. of Agric. Rural Dev. v. Kirtz,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-846),CA3,Affirm,Gorsuch,(9-0)
O'Connor-Ratcliff v. Garner,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-324),CA9,Vacate \& Remand,Per Curiam,(9-0)
Lindke v. Freed,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-611),CA6,Vacate \& Remand,Barrett,(9-0)
Rudisill v. McDonough,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-888),CAFC,Reverse \& Remand,Jackson,(7-2)
Culley v. Marshall,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-585),CA11,Affirm,Kavanaugh,(6-3)*
