Origin,Type,Petitions
Court of Criminal Appeals of Tennessee - Eastern Div.,State/Other,10
Dist. Court of Appeal of Florida - Third Dist.,State/Other,10
Superior Court of Pennsylvania - Harrisburg Office,State/Other,10
Superior Court of Pennsylvania - Pittsburgh Office,State/Other,10
Supreme Court of Nebraska,State/Other,10
Supreme Court of Nevada,State/Other,10
Supreme Court of Texas,State/Other,10
Supreme Court of Washington,State/Other,10
Supreme Judicial Court of Maine,State/Other,10
Court of Appeal of California - Fourth App. Dist. - Div. Three,State/Other,8
Court of Appeal of California - Fourth App. Dist. - Div. Two,State/Other,8
Court of Appeals of Alaska,State/Other,8
Court of Appeals of Ohio - Cuyahoga County,State/Other,8
Court of Appeals of Texas - Fifth Dist.,State/Other,8
Court of Appeals of Wisconsin - Dist. II,State/Other,8
Court of Criminal Appeals of Alabama,State/Other,8
Dist. Court of Appeals of Florida - Sixth Dist.,State/Other,8
Supreme Court of Appeals of West Virginia,State/Other,8
Supreme Court of Arizona,State/Other,8
Supreme Court of Connecticut,State/Other,8
