Origin,Type,Petitions
Supreme Court of Louisiana,State/Other,34
Court of Appeals of Minnesota,State/Other,28
Supreme Court of Ohio,State/Other,24
Court of Appeals of Arizona - Div. One,State/Other,22
Court of Appeals of Colorado,State/Other,20
App. Court of Illinois - First Dist.,State/Other,18
Court of Appeal of California - First App. Dist.,State/Other,18
Dist. Court of Appeal of Florida - Second Dist.,State/Other,18
Dist. of Columbia Court of Appeals,State/Other,18
Superior Court of New Jersey - App. Div.,State/Other,18
Superior Court of Pennsylvania - Philadelphia Office,State/Other,18
Court of Appeals for the Armed Forces,State/Other,18
Appeals Court of Massachusetts,State/Other,16
Court of Appeals of Texas - First Dist.,State/Other,16
Supreme Court of Alabama,State/Other,16
Supreme Court of Colorado,State/Other,16
Supreme Court of New Hampshire,State/Other,16
Court of Appeal of California - Third App. Dist.,State/Other,14
Court of Appeals of Kentucky,State/Other,14
Court of Appeals of New York,State/Other,14
