short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Snyder v. U.S.,43.76,2.71,0,5.22,7.19,3.71,7.46,6.61,3.34,7.52
Chiaverini v. City of Napoleon,25.64,1.32,0,5.54,2.24,1.36,3.67,0,3.64,7.87
Fischer v. U.S.,41.76,3.49,2.42,8.82,5.59,5.09,1.82,2.34,4.96,7.23
Thornell v. Jones,33.8,1.15,0.33,5.09,7.48,4.14,3.15,2.82,2.1,7.54
