justice,Majority,Concurrence,Other Concurrence,Dissent
ALITO,2,3,1,2
BARRETT,3,0,1,0
GORSUCH,2,3,0,2
JACKSON,3,1,2,1
KAGAN,4,1,0,1
KAVANAUGH,2,1,1,0
ROBERTS,1,0,0,1
SOTOMAYOR,5,1,1,1
THOMAS,2,1,3,1
