short_hand,description,docket,Lower_Court,Decision,Author,Coalition
Harrow v. Dept. of Defense,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(23-21),CAFC,Vacate \& Remand,Kagan,(9-0)
NRA v. Vullo,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-842),CA2,Vacate \& Remand,Sotomayor,(9-0)
