short_hand,description,docket,Lower_Court,Decision,Author,Coalition
FBI v. Fikre,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-1178),CA9,Affirm,Gorsuch,(9-0)*
Macquarie Infrastructure Corp. v. Moab Partners,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-1165),CA2,Vacate \& Remand,Sotomayor,(9-0)
Sheetz v. County of El Dorado,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-1074),Cal. Ct. App.,Vacate \& Remand,Barrett,(9-0)*
Devillier v. Texas,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-913),CA5,Vacate \& Remand,Thomas,(9-0)
