short_hand,description,docket,Lower_Court,Decision,Author,Coalition
McElrath v. Georgia,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-721),SCGA,Reverse \& Remand,Jackson,(9-0)*
Wilkinson v. Garland,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-666),CA3,Reverse In Part Vacate In Part Remand,Sotomayor,(6-3)
Muldrow v. St. Louis,This is a test. Your station is conducting a test of the Emergency Broadcast System. This is only a test.,(22-193),CA8,Vacate \& Remand,Kagan,(9-0)
