,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
ROBERTS,,,,,,,,,
THOMAS,78.57,,,,,,,,
ALITO,81.82,89.09,,,,,,,
SOTOMAYOR,73.21,51.79,54.55,,,,,,
KAGAN,73.21,51.79,54.55,96.43,,,,,
GORSUCH,75,82.14,81.82,62.5,62.5,,,,
KAVANAUGH,94.64,76.79,83.64,71.43,71.43,73.21,,,
BARRETT,87.5,80.36,80,71.43,71.43,76.79,89.29,,
JACKSON,71.43,53.57,60,91.07,91.07,64.29,73.21,69.64,
